retailer_country,order_method_type,retailer_type,product_line,product_type,product,year,quarter,revenue,quantity,gross_margin
Austria,Web,Outdoors Shop,Personal Accessories,Navigation,Sky Pilot,2014,Q2 2014,16826.0,47,0.35684358
Poland,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2012,Q2 2012,24201.24,3678,0.63221884
United States,Web,Warehouse Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q4 2012,79244.68,62,0.48311609
Germany,Web,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q3 2013,3263.27,43,0.0117275
Brazil,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2012,Q2 2012,53320.26,729,0.28221468
Canada,Web,Outdoors Shop,Personal Accessories,Binoculars,Seeker 50,2014,Q2 2014,21021.0,165,0.2733124
China,Web,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Water Bag,2014,Q1 2014,57863.55,14649,0.45063291
Canada,Web,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q3 2012,47579.04,893,0.34365616
Spain,Web,Department Store,Personal Accessories,Watches,Venue,2012,Q4 2012,33361.0,457,0.41345463
Mexico,Sales visit,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2012,Q2 2012,65796.72,264,0.39814629
Spain,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator,2013,Q3 2013,88576.15,635,0.38346835
Germany,Web,Outdoors Shop,Personal Accessories,Eyewear,Dante,2012,Q4 2012,77817.7,1802,0.34914704
Japan,Mail,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2012,Q2 2012,35647.68,568,0.26099426
United States,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shield,2013,Q3 2013,7362.0,1227,0.54
Belgium,Web,Golf Shop,Personal Accessories,Watches,Kodiak,2014,Q3 2014,4879.8,38,0.46141645
Italy,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2012,Q2 2012,11986.72,304,0.51382196
Singapore,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator,2013,Q3 2013,152881.04,1096,0.38346835
Spain,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2014,Q2 2014,8872.5,845,0.75714286
Austria,Web,Warehouse Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2014,Q2 2014,1435.0,41,0.59885714
China,Web,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2012,Q4 2012,354861.54,297,0.42250716
Switzerland,Web,Department Store,Camping Equipment,Lanterns,EverGlow Double,2012,Q4 2012,2986.22,58,0.44160176
Sweden,Web,Golf Shop,Personal Accessories,Eyewear,Retro,2014,Q2 2014,12028.8,192,0.46577215
United States,Web,Department Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q4 2013,75166.73,89,0.50270552
Austria,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2012,Q2 2012,3727.5,355,0.77047619
Italy,Web,Golf Shop,Personal Accessories,Eyewear,Trendi,2012,Q4 2012,30280.6,602,0.39195525
Spain,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2012,Q4 2012,100039.02,307,0.30126435
Italy,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2014,Q3 2014,44992.0,296,0.33611842
Japan,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shield,2012,Q2 2012,5556.6,945,0.53061224
Japan,Web,Golf Shop,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q4 2013,8490.0,1415,0.69
Australia,Web,Equipment Rental Store,Personal Accessories,Knives,Bear Survival Edge,2014,Q2 2014,7978.88,91,0.46395985
Switzerland,Web,Outdoors Shop,Personal Accessories,Navigation,Glacier Basic,2014,Q1 2014,65353.44,2050,0.37264205
Australia,Telephone,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2013,Q1 2013,35427.7,70,0.4511865
France,Web,Sports Store,Personal Accessories,Eyewear,Dante,2014,Q3 2014,28265.9,614,0.35661486
Italy,Web,Outdoors Shop,Personal Accessories,Knives,Edge Extreme,2012,Q4 2012,30490.21,271,0.28895209
China,Web,Golf Shop,Personal Accessories,Watches,TX,2014,Q3 2014,21000.0,105,0.4509
Singapore,Web,Direct Marketing,Camping Equipment,Lanterns,Firefly 4,2013,Q3 2013,8684.8,295,0.38858696
United States,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shelter 30,2012,Q4 2012,22975.2,4854,0.60914812
Denmark,Web,Golf Shop,Personal Accessories,Watches,Infinity,2014,Q1 2014,26875.2,114,0.46218223
Netherlands,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2012,Q4 2012,12571.2,2592,0.63092784
Belgium,Web,Sports Store,Personal Accessories,Watches,Venue,2013,Q2 2013,26280.0,360,0.41978234
Australia,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q3 2013,18393.65,583,0.36608558
Singapore,Web,Department Store,Personal Accessories,Watches,Mountain Man Extreme,2014,Q1 2014,10906.74,39,0.58453122
United Kingdom,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2013,Q4 2013,258740.04,366,0.35779557
Austria,Web,Department Store,Personal Accessories,Eyewear,Polar Ice,2013,Q3 2013,9378.6,88,0.53375557
Italy,E-mail,Sports Store,Camping Equipment,Lanterns,EverGlow Double,2012,Q4 2012,1616.65,31,0.44870566
United Kingdom,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q4 2013,46425.96,322,0.4798169
France,Web,Sports Store,Camping Equipment,Tents,Star Gazer 3,2014,Q3 2014,60796.84,86,0.35779557
Spain,Web,Department Store,Personal Accessories,Navigation,Glacier GPS,2012,Q3 2012,23811.41,217,0.28415201
Finland,Web,Outdoors Shop,Personal Accessories,Binoculars,Seeker Extreme,2013,Q1 2013,7124.52,78,-0.03043573
United Kingdom,Web,Golf Shop,Outdoor Protection,Sunscreen,Sun Shelter 15,2014,Q2 2014,2687.36,544,0.63765182
Italy,Web,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2013,Q2 2013,104469.6,158,0.48336358
Poland,Web,Department Store,Personal Accessories,Eyewear,Hawk Eye,2014,Q3 2014,52592.75,1227,0.42515689
Germany,Web,Sports Store,Camping Equipment,Lanterns,Firefly 4,2012,Q3 2012,14626.95,507,0.37608319
United Kingdom,Web,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2012,Q2 2012,14334.48,1389,0.72868217
Germany,Web,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2012,Q2 2012,33872.0,400,0.29145017
Netherlands,Web,Golf Shop,Personal Accessories,Navigation,Auto Pilot,2013,Q3 2013,6580.0,28,0.34846809
Sweden,Telephone,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2013,Q2 2013,28262.5,425,0.48165414
Sweden,Web,Warehouse Store,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2012,Q3 2012,40691.66,94,0.4481739
Sweden,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2014,Q1 2014,26240.76,182,0.4798169
Canada,Telephone,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q2 2013,2135.0,427,0.642
Germany,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,30830.35,323,0.44944997
France,Web,Department Store,Personal Accessories,Eyewear,Fairway,2014,Q1 2014,8521.25,401,0.41411765
United Kingdom,Sales visit,Sports Store,Camping Equipment,Lanterns,Flicker Lantern,2014,Q1 2014,6706.05,195,0.5457982
Switzerland,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q3 2013,7209.55,95,0.0117275
Canada,Web,Eyewear Store,Personal Accessories,Eyewear,Bella,2014,Q1 2014,15255.0,226,0.4663081
France,Sales visit,Outdoors Shop,Camping Equipment,Lanterns,Firefly Mapreader,2014,Q1 2014,10469.76,720,0.48422886
Switzerland,Web,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2013,Q2 2013,49764.0,395,0.28490776
Austria,Web,Sports Store,Personal Accessories,Knives,Max Gizmo,2013,Q4 2013,17576.6,433,0.53874811
Italy,Web,Direct Marketing,Camping Equipment,Lanterns,Firefly Multi-light,2012,Q2 2012,9025.47,347,0.31641676
Singapore,Web,Department Store,Personal Accessories,Watches,TX,2013,Q2 2013,78570.0,411,0.45302686
United States,Sales visit,Outdoors Shop,Camping Equipment,Lanterns,Firefly Lite,2014,Q2 2014,14050.37,971,0.53351762
Belgium,Sales visit,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2012,Q4 2012,49639.98,78,0.3306202
Finland,Web,Eyewear Store,Personal Accessories,Eyewear,Capri,2014,Q2 2014,31597.5,825,0.35591233
Belgium,Web,Outdoors Shop,Personal Accessories,Eyewear,Hawk Eye,2013,Q1 2013,12312.0,304,0.39753086
Spain,Web,Sports Store,Personal Accessories,Eyewear,Zone,2014,Q3 2014,80881.5,2282,0.3396846
Sweden,Web,Outdoors Shop,Personal Accessories,Eyewear,Cat Eye,2013,Q1 2013,25301.45,577,0.34689435
Japan,Web,Eyewear Store,Personal Accessories,Eyewear,Zone,2014,Q1 2014,252066.85,7467,0.33064153
Australia,Web,Golf Shop,Personal Accessories,Watches,TX,2012,Q4 2012,38752.0,208,0.44473369
Finland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q3 2013,52958.58,438,0.56537921
France,Telephone,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2012,Q2 2012,39104.0,260,0.32905585
Finland,Web,Outdoors Shop,Personal Accessories,Eyewear,Maximus,2012,Q4 2012,66360.0,807,0.50340778
Switzerland,Web,Golf Shop,Personal Accessories,Eyewear,Dante,2014,Q3 2014,9455.05,209,0.35921122
Belgium,Web,Department Store,Personal Accessories,Eyewear,Trendi,2012,Q3 2012,23641.0,470,0.3905317
China,Fax,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2012,Q4 2012,128304.54,147,0.43751289
Italy,E-mail,Sports Store,Camping Equipment,Lanterns,Firefly Extreme,2012,Q4 2012,5964.0,120,0.43420523
Germany,E-mail,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q1 2013,8645.28,217,0.50401606
Italy,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q3 2013,49230.72,924,0.34365616
United Kingdom,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2014,Q2 2014,18004.4,2369,0.58552632
China,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q1 2013,77794.96,2539,0.51044386
Singapore,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2014,Q1 2014,60520.45,12497,0.48487346
Canada,Mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Canteen,2012,Q3 2012,6475.95,533,0.45514403
Finland,Web,Direct Marketing,Outdoor Protection,Sunscreen,Sun Blocker,2014,Q3 2014,1050.0,210,0.61
Germany,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q4 2013,4605.0,921,0.63
United States,Telephone,Outdoors Shop,Personal Accessories,Watches,Infinity,2012,Q3 2012,31754.0,138,0.44626315
Poland,Web,Sports Store,Personal Accessories,Navigation,Auto Pilot,2013,Q4 2013,23030.0,98,0.34857968
Italy,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2014,Q3 2014,27223.2,7164,0.48421053
Germany,Web,Golf Shop,Personal Accessories,Eyewear,Cat Eye,2013,Q2 2013,10660.9,310,0.33632057
Switzerland,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Double,2013,Q1 2013,1564.5,30,0.44870566
Brazil,Web,Golf Shop,Personal Accessories,Eyewear,Dante,2013,Q1 2013,11707.95,267,0.34777651
Germany,Mail,Warehouse Store,Camping Equipment,Tents,Star Gazer 2,2012,Q3 2012,70076.16,128,0.28293788
Finland,Web,Golf Shop,Personal Accessories,Navigation,Sky Pilot,2013,Q4 2013,4654.0,13,0.35371508
United States,Web,Warehouse Store,Camping Equipment,Tents,Star Gazer 2,2012,Q4 2012,944385.75,1725,0.28293788
Austria,Web,Sports Store,Personal Accessories,Binoculars,Seeker 35,2013,Q1 2013,40712.21,407,0.28831351
United States,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2012,Q4 2012,186812.08,1532,0.34754797
Italy,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,49443.84,928,0.34365616
Poland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator,2013,Q3 2013,179105.16,1284,0.38346835
Canada,Web,Department Store,Personal Accessories,Eyewear,Zone,2013,Q2 2013,72492.3,2339,0.32596717
Denmark,Web,Warehouse Store,Camping Equipment,Tents,Star Dome,2013,Q4 2013,68636.85,111,0.35958599
France,Telephone,Sports Store,Camping Equipment,Lanterns,Firefly Mapreader,2012,Q3 2012,6000.96,376,0.53007519
Brazil,Web,Department Store,Camping Equipment,Lanterns,EverGlow Butane,2013,Q1 2013,5340.22,83,0.36851104
Switzerland,Web,Department Store,Personal Accessories,Eyewear,Trendi,2013,Q1 2013,53770.7,1069,0.39497142
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Carryall,2014,Q2 2014,55165.7,790,0.41028211
Japan,Web,Eyewear Store,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q1 2013,47364.12,602,0.50430832
Italy,Web,Sports Store,Personal Accessories,Binoculars,Opera Vision,2012,Q4 2012,3740.0,34,0.54163636
Australia,Web,Eyewear Store,Personal Accessories,Knives,Pocket Gizmo,2014,Q3 2014,10371.6,804,0.61472868
Brazil,Web,Sports Store,Golf Equipment,Irons,Hailstorm Steel Irons,2014,Q1 2014,60967.25,138,0.49976422
Japan,Web,Outdoors Shop,Personal Accessories,Eyewear,Cat Eye,2014,Q3 2014,43201.6,1612,0.32985075
Germany,Telephone,Eyewear Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q4 2013,19016.3,397,0.3736952
Spain,Web,Sports Store,Personal Accessories,Eyewear,Retro,2013,Q4 2013,50746.5,810,0.45832954
Denmark,Web,Warehouse Store,Personal Accessories,Eyewear,Polar Sun,2013,Q2 2013,1731.52,28,0.57713454
Netherlands,Web,Sports Store,Personal Accessories,Eyewear,Dante,2014,Q3 2014,5130.45,117,0.36396807
Canada,Web,Golf Shop,Personal Accessories,Eyewear,Retro,2013,Q4 2013,16163.7,258,0.45752396
Denmark,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2014,Q1 2014,15010.0,3950,0.48421053
Australia,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2013,Q4 2013,25824.78,477,0.44052457
China,Web,Eyewear Store,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q1 2013,30955.95,397,0.49983767
Canada,E-mail,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2014,Q2 2014,57060.98,751,0.25138194
China,Web,Direct Marketing,Camping Equipment,Lanterns,Firefly Multi-light,2012,Q2 2012,17868.87,687,0.31641676
Japan,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cup,2014,Q2 2014,11548.15,3253,0.75492958
Brazil,Web,Department Store,Personal Accessories,Watches,Mountain Man Analog,2012,Q2 2012,24785.01,520,0.3705873
Netherlands,Web,Eyewear Store,Personal Accessories,Knives,Max Gizmo,2012,Q4 2012,16235.0,425,0.53734339
Spain,Web,Outdoors Shop,Personal Accessories,Eyewear,Trendi,2014,Q3 2014,754.5,15,0.41252485
Germany,Web,Golf Shop,Personal Accessories,Knives,Max Gizmo,2013,Q1 2013,6959.7,171,0.53980344
United States,Web,Warehouse Store,Outdoor Protection,First Aid,Aloe Relief,2014,Q2 2014,1087.84,208,0.63288719
Australia,Telephone,Outdoors Shop,Personal Accessories,Eyewear,Polar Wave,2012,Q4 2012,1338.68,14,0.56996444
Finland,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2013,Q2 2013,25283.55,1095,0.31009095
France,Web,Sports Store,Personal Accessories,Knives,Max Gizmo,2013,Q2 2013,38957.5,961,0.54143823
United States,Web,Sports Store,Personal Accessories,Knives,Edge Extreme,2014,Q1 2014,100747.06,886,0.2964559
Netherlands,Web,Eyewear Store,Personal Accessories,Eyewear,Zone,2013,Q3 2013,48711.1,1424,0.32434332
Japan,Telephone,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q1 2013,157090.02,186,0.50270552
Canada,Web,Department Store,Golf Equipment,Putters,Blue Steel Putter,2013,Q1 2013,5857.5,66,0.53577465
Germany,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Extreme,2012,Q2 2012,3173.39,11,0.59724774
Denmark,Web,Department Store,Personal Accessories,Knives,Single Edge,2012,Q2 2012,16789.98,1398,0.28726062
Germany,Web,Direct Marketing,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q2 2013,1350.0,270,0.642
France,Web,Department Store,Personal Accessories,Binoculars,Seeker 50,2014,Q1 2014,18600.4,146,0.2733124
Australia,Web,Department Store,Golf Equipment,Putters,Blue Steel Max Putter,2012,Q4 2012,20374.8,120,0.45933212
Germany,Web,Golf Shop,Personal Accessories,Knives,Bear Survival Edge,2013,Q1 2013,5371.2,60,0.47497766
Denmark,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q3 2012,23481.0,450,0.32981985
Canada,Web,Outdoors Shop,Personal Accessories,Eyewear,Cat Eye,2012,Q4 2012,66774.3,1933,0.32846065
Singapore,Web,Department Store,Personal Accessories,Watches,Lux,2014,Q2 2014,45812.8,274,0.4937118
Brazil,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2014,Q1 2014,30106.59,249,0.56992805
Poland,Web,Department Store,Personal Accessories,Watches,Mountain Man Deluxe,2014,Q1 2014,49270.92,636,0.49657932
Japan,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Lite,2014,Q2 2014,118114.2,1380,0.29898353
Poland,Web,Direct Marketing,Camping Equipment,Tents,Star Dome,2012,Q4 2012,67914.24,111,0.35277197
France,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2014,Q2 2014,122635.12,3307,0.5051707
Belgium,Web,Department Store,Personal Accessories,Navigation,Sky Pilot,2014,Q2 2014,16826.0,47,0.35723583
Denmark,Web,Eyewear Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q1 2013,16787.04,346,0.38166586
France,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Natural,2012,Q2 2012,21961.14,3746,0.68273232
Spain,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q3 2013,12521.85,165,0.0117275
Netherlands,Sales visit,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2012,Q3 2012,36424.8,240,0.50583119
Mexico,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q3 2013,2229.71,371,0.69550749
Netherlands,Web,Department Store,Personal Accessories,Eyewear,Maximus,2013,Q4 2013,65346.8,758,0.51257016
Mexico,Web,Warehouse Store,Personal Accessories,Navigation,Glacier Deluxe,2013,Q3 2013,14109.48,154,0.42152368
Singapore,Web,Department Store,Personal Accessories,Watches,Sam,2013,Q2 2013,3547.1,79,0.39064588
Germany,Telephone,Sports Store,Personal Accessories,Eyewear,Cat Eye,2014,Q2 2014,5628.0,210,0.33171642
Mexico,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2012,Q4 2012,80967.84,1164,0.24468085
Austria,Web,Outdoors Shop,Personal Accessories,Navigation,Astro Pilot,2013,Q4 2013,48865.0,337,0.37649463
Australia,Web,Warehouse Store,Personal Accessories,Knives,Bear Survival Edge,2013,Q3 2013,12362.88,141,0.46395985
Canada,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q3 2012,47792.16,897,0.34365616
Brazil,Web,Department Store,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q1 2013,1565.0,313,0.61
Poland,Web,Golf Shop,Personal Accessories,Eyewear,Capri,2012,Q4 2012,11643.2,304,0.33604507
Singapore,Web,Department Store,Camping Equipment,Tents,Star Dome,2013,Q4 2013,221369.3,358,0.35958599
Finland,Web,Department Store,Personal Accessories,Eyewear,Cat Eye,2012,Q3 2012,39021.6,1227,0.32477577
Finland,Web,Department Store,Personal Accessories,Navigation,Glacier GPS,2013,Q1 2013,41140.19,371,0.33772207
Italy,Web,Golf Shop,Personal Accessories,Watches,Legend,2014,Q1 2014,41043.4,151,0.43213574
Poland,Fax,Department Store,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q3 2013,1460.0,292,0.61
Switzerland,Web,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2012,Q2 2012,18972.96,29,0.47786745
Poland,Fax,Department Store,Mountaineering Equipment,Rope,Husky Rope 200,2013,Q3 2013,50799.39,93,0.32198891
Germany,Web,Outdoors Shop,Personal Accessories,Watches,TX,2012,Q3 2012,162996.0,852,0.4537515
United States,Sales visit,Eyewear Store,Personal Accessories,Eyewear,Polar Extreme,2013,Q2 2013,1334.7,9,0.5111261
Australia,Sales visit,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2014,Q1 2014,8439.72,318,0.33006782
Sweden,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly 2,2012,Q2 2012,6570.9,245,0.37844892
Japan,Sales visit,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2014,Q2 2014,220077.0,2106,0.48392344
United States,Web,Outdoors Shop,Personal Accessories,Knives,Edge Extreme,2014,Q1 2014,319297.68,2808,0.2964559
Belgium,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2014,Q2 2014,4587.0,139,0.52393939
Brazil,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,2012,Q3 2012,7067.52,74,0.52883048
Singapore,Telephone,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2012,Q4 2012,59305.93,137,0.4481739
Japan,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2014,Q2 2014,15592.5,825,0.47089947
France,Sales visit,Sports Store,Personal Accessories,Binoculars,Seeker Mini,2013,Q1 2013,17364.12,233,0.46326102
Canada,Web,Outdoors Shop,Personal Accessories,Navigation,Auto Pilot,2013,Q3 2013,22090.0,94,0.34791127
France,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q3 2013,1675.0,335,0.642
Japan,Web,Outdoors Shop,Personal Accessories,Knives,Pocket Gizmo,2013,Q2 2013,54270.3,4207,0.61260284
Australia,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Lotion,2014,Q3 2014,1939.0,277,0.66714286
United States,Web,Sports Store,Camping Equipment,Tents,Star Gazer 3,2013,Q2 2013,214909.76,304,0.35779557
Poland,Web,Sports Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2014,Q1 2014,2485.0,71,0.59885714
Spain,Web,Department Store,Camping Equipment,Packs,Canyon Mule Carryall,2013,Q3 2013,101044.01,1447,0.41028211
Germany,E-mail,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cup,2013,Q2 2013,4043.6,1838,0.61363636
Poland,Web,Department Store,Mountaineering Equipment,Rope,Husky Rope 100,2013,Q2 2013,140953.24,428,0.30862661
Austria,Web,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2012,Q4 2012,3202.5,305,0.77047619
France,Web,Outdoors Shop,Camping Equipment,Lanterns,Flicker Lantern,2014,Q3 2014,4092.41,119,0.5457982
Mexico,Web,Eyewear Store,Personal Accessories,Binoculars,Seeker 35,2013,Q3 2013,32009.6,320,0.28831351
France,Web,Department Store,Personal Accessories,Eyewear,Dante,2012,Q3 2012,69066.65,1609,0.35268585
Italy,E-mail,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2012,Q2 2012,33205.14,398,0.50617284
Germany,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2014,Q1 2014,23699.54,304,0.49973713
Denmark,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2014,Q2 2014,3822.0,546,0.65428571
Australia,Telephone,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2012,Q2 2012,3420.0,190,0.52611111
Brazil,Web,Sports Store,Camping Equipment,Lanterns,Firefly 4,2013,Q2 2013,5623.04,191,0.38858696
Finland,Web,Sports Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q4 2013,2814.0,402,0.66714286
United Kingdom,Web,Eyewear Store,Personal Accessories,Binoculars,Ranger Vision,2012,Q4 2012,5920.0,37,0.5340625
Canada,Web,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2014,Q1 2014,30274.96,144,0.62091445
France,Web,Outdoors Shop,Personal Accessories,Watches,Infinity,2014,Q2 2014,322965.0,1330,0.44699531
Mexico,Web,Department Store,Camping Equipment,Tents,Star Lite,2014,Q1 2014,55519.5,150,0.32456164
Mexico,Sales visit,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q3 2012,32692.6,620,0.33681016
Mexico,Sales visit,Sports Store,Personal Accessories,Watches,Mountain Man Deluxe,2012,Q3 2012,24837.84,324,0.49126011
Austria,Sales visit,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator,2013,Q3 2013,86902.27,623,0.38346835
Switzerland,Sales visit,Sports Store,Personal Accessories,Eyewear,Polar Extreme,2013,Q1 2013,2224.5,15,0.5111261
France,Web,Sports Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2013,Q3 2013,64896.0,75,0.51345229
Poland,Web,Sports Store,Personal Accessories,Knives,Pocket Gizmo,2012,Q3 2012,3208.6,263,0.59098361
China,Web,Sports Store,Personal Accessories,Eyewear,Zone,2012,Q4 2012,278549.3,9086,0.32171117
Switzerland,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2012,Q3 2012,7172.38,122,0.34376595
Japan,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2013,Q3 2013,128508.4,1828,0.25263158
Australia,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q1 2013,7077.65,401,0.52124646
Finland,Web,Sports Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2013,Q3 2013,2590.0,74,0.59885714
United Kingdom,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2013,Q3 2013,43226.57,1103,0.44628732
Spain,Web,Sports Store,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q3 2013,33056.38,424,0.49976374
Belgium,Web,Sports Store,Personal Accessories,Watches,Mountain Man Digital,2014,Q1 2014,6366.33,153,0.51934631
Italy,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2012,Q3 2012,15876.0,810,0.49540816
United States,Web,Department Store,Personal Accessories,Knives,Max Gizmo,2012,Q3 2012,41485.2,1086,0.53824882
Australia,Web,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS,2014,Q3 2014,56806.2,604,0.30887826
